Timestamp,Name (optional),Do you think the speakers did a good job explaining relevant concepts? Why/Why not?,How satisfied were you with the event?,How relevant do you think this event was to your degree?,What were your key take aways from this event?,How satisfied were you with the session content?,Any overall feedback for the event?
2017/07/16 12:10:45 pm GMT+10,,yes,5,5,how to code,5,very well presented. keep it up
2017/07/16 12:11:17 pm GMT+10,Alex,"Yes, but they covered the material a bit fast for beginners. It could help if handouts were provided with all the learning materials etc. ",4,4,That there is a lot of work behind simple things on websites!,5,niceboi
2017/07/16 12:11:17 pm GMT+10,Will ,"YES. Pat Wan is entertaining, but succinct.",4,3,HTML coding,5,Fun
2017/07/16 12:11:27 pm GMT+10,,Decently. could be a little more organised and structured.,4,5,CSS IS GODLY,4,CANT WAIT FOR THE NEXT ONE
2017/07/16 12:11:33 pm GMT+10,,Yes they were very good,4,2,Learnt how to change colour of text,4,There was a bit too much to learn in one session
2017/07/16 12:11:44 pm GMT+10,,Yes but was a bit fast,3,4,Understand a bit about coding ,2,
2017/07/16 12:11:49 pm GMT+10,,"Yes, he managed to keep most people involved",4,3,quotation marks ytb,4,"very good, good job"
2017/07/16 12:11:52 pm GMT+10,Vicky ,"Yes I did, they were very succinct and explained this well. They made sure everyone understood before they moved on. ",5,4,"HTML, CSS very good ",5,Good with the prizes got people engaged.
2017/07/16 12:11:55 pm GMT+10,Jackson,"Yes, great work tailoring explanation to audience, good engagement and projection of voice. ",4,2,basic HTML,4,"-	Give some time for everyone to follow -	Then put hand up if behind and have 1 person going around to help those that r behind -	Hard for people at back to see -	Hard for people to remember everything if not put applied straight after learning "
2017/07/16 12:12:03 pm GMT+10,,"Yep, very clear. Came around to help often.",3,3,"I learnt what programs to use, and the specifics of coding (what not to leave out). ",4,"Simple, and easy to learn esp. for beginners."
2017/07/16 12:12:05 pm GMT+10,James Nguyen,"Speakers did a great job, conveyed what was necessary and also the importance/value. Great level of audience interaction, kept us engaged.",4,3,Venkatesh needs more love. ,3,
2017/07/16 12:12:05 pm GMT+10,,Yes,4,2,HTML is hard,5,Could be longer to make sure we understand more concepts
2017/07/16 12:12:06 pm GMT+10,,"Yes, they were very interactive",4,4,basic HTML syntax,4,
2017/07/16 12:12:08 pm GMT+10,soph,"Yep, very clear and engaging especially pat",5,5,"basics of coding such as the use of document, tags, and the different types CSS internal external etc, also how to change the colour of the fonts",5,Maybe make screen a little bigger for those at the back
2017/07/16 12:12:15 pm GMT+10,,YTB,4,3,how to write an HTML,4,YTB
2017/07/16 12:12:17 pm GMT+10,,Yes v good job,4,4,Computers will take over the world ,4,Beautiful presentation
2017/07/16 12:12:18 pm GMT+10,John Chan,"Yes, explained it clearly making sure everyone understood what they were trying to teach. ",4,3,Tags are important,4,"More in depth content, possibly asking us to make our own webpage (keeping it simple)"
2017/07/16 12:12:21 pm GMT+10,,"They seemed to, but perhaps more visual cues or even short videos would have been more helpful",4,4,HTML is important!,4,"I came late so I didn't get all of it, seemed interesting though"
2017/07/16 12:12:26 pm GMT+10,,"Yes, they kept the crowd engaged but were also able to explain relevant concepts ",5,3,How to make a website,5,Loved it
2017/07/16 12:12:36 pm GMT+10,,Yes they were enthusiastic and tried to explain things as clearly as possible - it did get a bit confusing though with the different types of css,4,2,"the basics of coding, colour, font",4,but how do i make a website
2017/07/16 12:12:36 pm GMT+10,,Yes very clear they were good speakers and asked us questions to make sure we understood,4,2,Use semi colons and brackets,3,Please incorporate more practical activities or let us practise after each section of new content 
2017/07/16 12:12:36 pm GMT+10,Nicky,Yes!! Very articulate and explanations were engaging and clear,5,5,That a lot of work goes into completing each website,5,Overall very satisfied!!
